model,pinyin_token,N,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
shibing624/text2vec-base-chinese,ALL,ALL,1899,0.4343,0.4497,0.6358,0.9099,de2 yi3 (N=2),0.0164,huo4 qi2 ta1 (N=2),equal-weight mean over filtered N>1 collision groups
shibing624/text2vec-base-chinese,ta1 de,4,6,0.3219,0.2968,0.4989,0.5017,他的|牠的,0.1447,他的|它的,他的 / 她的 / 它的 / 牠的
shibing624/text2vec-base-chinese,an4 jian4,2,1,0.5867,0.5867,0.5867,0.5867,按键|案件,0.5867,按键|案件,按键 / 案件
shibing624/text2vec-base-chinese,dian4 shi4,2,1,0.7092,0.7092,0.7092,0.7092,殿试|电视,0.7092,殿试|电视,殿试 / 电视
shibing624/text2vec-base-chinese,fu2 shi4,2,1,0.3558,0.3558,0.3558,0.3558,服侍|服饰,0.3558,服侍|服饰,服侍 / 服饰
shibing624/text2vec-base-chinese,lie4 shi4,2,1,0.6137,0.6137,0.6137,0.6137,劣势|烈士,0.6137,劣势|烈士,劣势 / 烈士
shibing624/text2vec-base-chinese,yu4 shi4,2,1,0.7626,0.7626,0.7626,0.7626,浴室|预示,0.7626,浴室|预示,浴室 / 预示
shibing624/text2vec-base-chinese,gong1 shi4,6,15,0.5556,0.5279,0.6582,0.7292,公示|攻势,0.4421,公事|公视,公事 / 公式 / 公示 / 公视 / 工事 / 攻势
shibing624/text2vec-base-chinese,xing2 shi4,5,10,0.5103,0.5181,0.6218,0.6478,刑事|形式,0.2554,型式|形式,刑事 / 型式 / 形势 / 形式 / 行事
shibing624/text2vec-base-chinese,qi2 shi4,4,6,0.6659,0.6735,0.7328,0.7412,棋士|歧视,0.5551,棋士|骑士,其事 / 棋士 / 歧视 / 骑士
shibing624/text2vec-base-chinese,jing1 li4,2,1,0.5491,0.5491,0.5491,0.5491,精力|经历,0.5491,精力|经历,精力 / 经历
