model,N,pinyin_token,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
shibing624/text2vec-base-chinese,2,jūn de,1,0.5481,0.5481,0.5481,0.5481,军的|菌的,0.5481,军的|菌的,军的 / 菌的
shibing624/text2vec-base-chinese,2,shàng yī,1,0.5326,0.5326,0.5326,0.5326,上一|上衣,0.5326,上一|上衣,上一 / 上衣
shibing624/text2vec-base-chinese,2,shí sì,1,0.6947,0.6947,0.6947,0.6947,十四|食肆,0.6947,十四|食肆,十四 / 食肆
shibing624/text2vec-base-chinese,2,xiàn shí de,1,0.3873,0.3873,0.3873,0.3873,现实的|现时的,0.3873,现实的|现时的,现实的 / 现时的
shibing624/text2vec-base-chinese,2,xī kǒu,1,0.5934,0.5934,0.5934,0.5934,溪口|西口,0.5934,溪口|西口,溪口 / 西口
shibing624/text2vec-base-chinese,3,hé lǐ,3,0.5504,0.5574,0.5717,0.5753,和李|荷里,0.5186,合理|和李,合理 / 和李 / 荷里
shibing624/text2vec-base-chinese,3,liǎng jí,3,0.4218,0.4466,0.4684,0.4739,两极|两集,0.3449,两级|两集,两极 / 两级 / 两集
shibing624/text2vec-base-chinese,3,quán lì,3,0.4938,0.576,0.6069,0.6146,全力|权利,0.2907,权利|权力,全力 / 权利 / 权力
shibing624/text2vec-base-chinese,3,shì wēi,3,0.5181,0.5198,0.527,0.5288,式微|示威,0.5057,士威|示威,士威 / 式微 / 示威
shibing624/text2vec-base-chinese,3,ān xī,3,0.454,0.456,0.4903,0.4989,安息|安溪,0.4071,安溪|安西,安息 / 安溪 / 安西
shibing624/text2vec-base-chinese,4,lǐ shì,6,0.5293,0.5658,0.6464,0.6473,李氏|理事,0.2728,李世|李氏,李世 / 李氏 / 理事 / 里士
shibing624/text2vec-base-chinese,4,quán shì,6,0.5472,0.5701,0.6167,0.6332,全是|权势,0.4041,全市|全是,全市 / 全是 / 权势 / 诠释
shibing624/text2vec-base-chinese,4,tā de,6,0.3219,0.2968,0.4989,0.5017,他的|牠的,0.1447,他的|它的,他的 / 她的 / 它的 / 牠的
shibing624/text2vec-base-chinese,4,xī lín,6,0.5195,0.5007,0.7071,0.7126,西邻|锡林,0.2624,西临|西邻,西临 / 西林 / 西邻 / 锡林
shibing624/text2vec-base-chinese,4,ài lì,6,0.1837,0.178,0.2581,0.2822,艾力|艾莉,0.0912,艾丽|艾莉,艾丽 / 艾利 / 艾力 / 艾莉
shibing624/text2vec-base-chinese,5,mǎ lì,10,0.4589,0.5305,0.6919,0.716,玛莉|马力,0.0879,玛丽|玛莉,玛丽 / 玛利 / 玛莉 / 马利 / 马力
shibing624/text2vec-base-chinese,5,shì zhōng,10,0.5165,0.5082,0.6393,0.6472,侍中|式中,0.3528,事中|是中,事中 / 侍中 / 室中 / 式中 / 是中
shibing624/text2vec-base-chinese,5,xíng shì,10,0.5103,0.5181,0.6218,0.6478,刑事|形式,0.2554,型式|形式,刑事 / 型式 / 形势 / 形式 / 行事
shibing624/text2vec-base-chinese,5,yì wèi,10,0.4074,0.3803,0.5172,0.618,亦未|意为,0.2848,意为|译为,亦为 / 亦未 / 意为 / 意味 / 译为
shibing624/text2vec-base-chinese,5,yī shì,10,0.4849,0.4827,0.6015,0.6473,一世|伊士,0.3033,一事|一是,一世 / 一事 / 一是 / 伊势 / 伊士
shibing624/text2vec-base-chinese,6,gōng shì,15,0.5556,0.5279,0.6582,0.7292,公示|攻势,0.4421,公事|公视,公事 / 公式 / 公示 / 公视 / 工事 / 攻势
shibing624/text2vec-base-chinese,6,shì wèi,15,0.4724,0.4886,0.6221,0.6288,氏为|视为,0.2436,是为|视为,侍卫 / 式为 / 是为 / 是位 / 氏为 / 视为
shibing624/text2vec-base-chinese,6,zhèng shì,15,0.5621,0.59,0.6768,0.7096,正视|郑氏,0.3474,正式|正是,政事 / 正室 / 正式 / 正是 / 正视 / 郑氏
shibing624/text2vec-base-chinese,8,shì de,28,0.4323,0.4173,0.521,0.5656,是的|氏的,0.343,世的|士的,世的 / 事的 / 士的 / 室的 / 市的 / 式的 / 是的 / 氏的
