tokenizer,sample_group,token_id,clean_token,auto_label,manual_label,reason,unit_count,comment
custom_chinese_origin_64k,SV,17234,门将,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,34924,放逐,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,26283,罪恶,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,53101,挹,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,3364,句,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,25831,详见,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,41575,两极,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,1440,厅,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,21294,30万,SV,SV,complete numeric/time expression,3,
custom_chinese_origin_64k,SV,63999,结构性,SV,SV,CEDICT hit,3,
custom_chinese_origin_64k,SV,21695,史书,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,48637,其他国家的,SV,SV,CEDICT hit,5,
custom_chinese_origin_64k,SV,30469,慷慨,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,3536,梯,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,26482,马祖,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,6124,互相,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,35896,荣民,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,13118,耿,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,4825,加强,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,5327,淘汰,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,6337,邱,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,21848,雷恩,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,45524,访问中,SV,SV,CEDICT hit,3,
custom_chinese_origin_64k,SV,15376,养殖,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,27891,轴心国,SV,SV,CEDICT hit,3,
custom_chinese_origin_64k,SV,4116,洗,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,1348,城市,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,22996,截然,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,30385,病变,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,1444,照,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,54211,批量生产,SV,SV,CEDICT hit,4,
custom_chinese_origin_64k,SV,7131,代替,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,6492,东亚,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,1401,思,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,2418,竹,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,5830,遥,SV,SV,CEDICT hit,1,
custom_chinese_origin_64k,SV,34572,红楼梦,SV,SV,CEDICT hit,3,
custom_chinese_origin_64k,SV,51732,获得,SV,SV,CEDICT hit,2,
custom_chinese_origin_64k,SV,55402,阶级斗争,SV,SV,CEDICT hit,4,
