model,pinyin_token,N,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
BAAI/bge-small-zh-v1.5,ALL,ALL,4838,0.4831,0.5072,0.6743,0.8063,diao su (N=2),0.0222,ke zuo wei guan shang yu (N=2),equal-weight mean over filtered N>1 collision groups
BAAI/bge-small-zh-v1.5,ta de,5,10,0.393,0.3797,0.5241,0.5477,塔的|牠的,0.2254,他的|它的,他的 / 塔的 / 她的 / 它的 / 牠的
BAAI/bge-small-zh-v1.5,an jian,3,3,0.5895,0.5848,0.6359,0.6486,按键|案件,0.5352,安检|案件,安检 / 按键 / 案件
BAAI/bge-small-zh-v1.5,dian shi,3,3,0.6108,0.6022,0.6515,0.6639,殿试|电视,0.5664,殿试|点是,殿试 / 点是 / 电视
BAAI/bge-small-zh-v1.5,fu shi,7,21,0.6374,0.6563,0.7247,0.7365,富士|府事,0.3179,服侍|服饰,副使 / 复式 / 富士 / 府事 / 服侍 / 服饰 / 腐蚀
BAAI/bge-small-zh-v1.5,lie shi,3,3,0.6497,0.6796,0.6816,0.6821,烈士|猎食,0.5875,劣势|猎食,劣势 / 烈士 / 猎食
BAAI/bge-small-zh-v1.5,yu shi,8,28,0.6051,0.632,0.7214,0.7522,浴室|语是,0.2526,与世|于世,与世 / 于世 / 于是 / 御史 / 浴室 / 玉石 / 语是 / 预示
BAAI/bge-small-zh-v1.5,gong shi,11,55,0.5304,0.5622,0.6771,0.7413,公式|贡士,0.2142,工事|工时,公事 / 公使 / 公式 / 公示 / 公视 / 共事 / 共识 / 工事 / 工时 / 攻势 / 贡士
BAAI/bge-small-zh-v1.5,xing shi,8,28,0.5039,0.5426,0.6331,0.6705,刑事|型式,0.1815,型式|形式,刑事 / 型式 / 姓氏 / 形势 / 形式 / 行事 / 行使 / 行驶
BAAI/bge-small-zh-v1.5,qi shi,13,78,0.5927,0.6314,0.7011,0.7709,七十|棋士,0.1956,骑士|骑师,七世 / 七十 / 其事 / 其实 / 其时 / 启示 / 棋士 / 歧视 / 气势 / 起事 / 起始 / 骑士 / 骑师
BAAI/bge-small-zh-v1.5,jing li,5,10,0.5553,0.5765,0.6387,0.6459,敬礼|警力,0.3934,经历|经理,敬礼 / 精力 / 经历 / 经理 / 警力
