model,pinyin_token,N,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
shibing624/text2vec-base-chinese,ALL,ALL,4838,0.4991,0.5203,0.6829,0.9095,feng mi (N=2),0.0058,ke zuo wei guan shang yu (N=2),equal-weight mean over filtered N>1 collision groups
shibing624/text2vec-base-chinese,ta de,5,10,0.4085,0.4639,0.5596,0.6799,塔的|牠的,0.1447,他的|它的,他的 / 塔的 / 她的 / 它的 / 牠的
shibing624/text2vec-base-chinese,an jian,3,3,0.6556,0.6503,0.7139,0.7298,安检|案件,0.5867,按键|案件,安检 / 按键 / 案件
shibing624/text2vec-base-chinese,dian shi,3,3,0.6449,0.6746,0.7022,0.7092,殿试|电视,0.5509,点是|电视,殿试 / 点是 / 电视
shibing624/text2vec-base-chinese,fu shi,7,21,0.6141,0.6223,0.7089,0.7297,富士|服饰,0.3558,服侍|服饰,副使 / 复式 / 富士 / 府事 / 服侍 / 服饰 / 腐蚀
shibing624/text2vec-base-chinese,lie shi,3,3,0.6797,0.6753,0.7351,0.75,劣势|猎食,0.6137,劣势|烈士,劣势 / 烈士 / 猎食
shibing624/text2vec-base-chinese,yu shi,8,28,0.6227,0.6748,0.738,0.7626,浴室|预示,0.1979,与世|于世,与世 / 于世 / 于是 / 御史 / 浴室 / 玉石 / 语是 / 预示
shibing624/text2vec-base-chinese,gong shi,11,55,0.5649,0.5679,0.6728,0.7461,共识|贡士,0.2955,公事|公使,公事 / 公使 / 公式 / 公示 / 公视 / 共事 / 共识 / 工事 / 工时 / 攻势 / 贡士
shibing624/text2vec-base-chinese,xing shi,8,28,0.5786,0.5661,0.742,0.774,姓氏|行驶,0.2554,型式|形式,刑事 / 型式 / 姓氏 / 形势 / 形式 / 行事 / 行使 / 行驶
shibing624/text2vec-base-chinese,qi shi,13,78,0.5931,0.6255,0.7427,0.8166,其实|棋士,0.1611,骑士|骑师,七世 / 七十 / 其事 / 其实 / 其时 / 启示 / 棋士 / 歧视 / 气势 / 起事 / 起始 / 骑士 / 骑师
shibing624/text2vec-base-chinese,jing li,5,10,0.5682,0.5898,0.6197,0.6483,敬礼|经理,0.4063,经历|经理,敬礼 / 精力 / 经历 / 经理 / 警力
