N,pair_index_within_N,c_token,source_token_count_for_pair,a_tokens_json
2,1,a,2,"[""a"", ""啊""]"
2,2,a1ma3,2,"[""阿玛"", ""阿马""]"
2,3,a1na4,2,"[""阿纳"", ""阿那""]"
2,4,a1qi2,2,"[""阿奇"", ""阿齐""]"
2,5,a1wei2,2,"[""阿维"", ""阿韦""]"
2,6,ai1li4,2,"[""埃利"", ""埃莉""]"
2,7,ai4de2,2,"[""爱德"", ""艾德""]"
2,8,ai4di2,2,"[""爱迪"", ""艾迪""]"
2,9,ai4er3,2,"[""爱尔"", ""艾尔""]"
2,10,ai4li4si1,2,"[""爱丽丝"", ""艾利斯""]"
2,11,ai4lun2,2,"[""爱伦"", ""艾伦""]"
2,12,ai4xin1,2,"[""爱心"", ""爱新""]"
2,13,ai4zhi1,2,"[""爱之"", ""爱知""]"
2,14,ai4zi1bing4,2,"[""爱滋病"", ""艾滋病""]"
2,15,an1di4si1,2,"[""安地斯"", ""安第斯""]"
2,16,an1fu3,2,"[""安府"", ""安抚""]"
2,17,an1kang1,2,"[""安康"", ""𩽾𩾌""]"
2,18,an3,2,"[""俺"", ""铵""]"
2,19,an4jian4,2,"[""按键"", ""案件""]"
2,20,an4zhong1,2,"[""暗中"", ""案中""]"
2,21,ao4de2,2,"[""奥得"", ""奥德""]"
2,22,ao4li4,2,"[""奥利"", ""奥莉""]"
2,23,ba,2,"[""ba"", ""吧""]"
2,24,ba1ba1,2,"[""巴巴"", ""芭芭""]"
2,25,ba1bi3,2,"[""巴比"", ""芭比""]"
2,26,ba1da2,2,"[""八达"", ""巴达""]"
2,27,ba1de2,2,"[""八德"", ""巴德""]"
2,28,ba1li2,2,"[""巴厘"", ""巴黎""]"
2,29,ba1li3,2,"[""八里"", ""巴里""]"
2,30,ba1li4,2,"[""巴利"", ""巴力""]"
2,31,ba1qi2,2,"[""八旗"", ""巴奇""]"
2,32,ba1shi4,2,"[""八世"", ""巴士""]"
2,33,ba1yi1,2,"[""八一"", ""巴伊""]"
2,34,ba2,2,"[""拔"", ""跋""]"
2,35,ban1de,2,"[""班的"", ""般的""]"
2,36,ban1ji1,2,"[""扳机"", ""班机""]"
2,37,ban1jia1,2,"[""搬家"", ""班加""]"
2,38,ban3ben3,2,"[""坂本"", ""版本""]"
2,39,ban3de,2,"[""板的"", ""版的""]"
2,40,ban3he2,2,"[""板和"", ""版和""]"
