model,pinyin_token,N,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
BAAI/bge-small-zh-v1.5,ALL,ALL,1900,0.4028,0.3791,0.6419,0.8333,shì shè (N=2),0.0425,zhàng hù (N=2),equal-weight mean over filtered N>1 collision groups
BAAI/bge-small-zh-v1.5,tā de,4,6,0.3154,0.3133,0.3797,0.431,她的|牠的,0.2254,他的|它的,他的 / 她的 / 它的 / 牠的
BAAI/bge-small-zh-v1.5,àn jiàn,2,1,0.6486,0.6486,0.6486,0.6486,按键|案件,0.6486,按键|案件,按键 / 案件
BAAI/bge-small-zh-v1.5,diàn shì,2,1,0.6639,0.6639,0.6639,0.6639,殿试|电视,0.6639,殿试|电视,殿试 / 电视
BAAI/bge-small-zh-v1.5,fú shì,2,1,0.3179,0.3179,0.3179,0.3179,服侍|服饰,0.3179,服侍|服饰,服侍 / 服饰
BAAI/bge-small-zh-v1.5,liè shì,2,1,0.6796,0.6796,0.6796,0.6796,劣势|烈士,0.6796,劣势|烈士,劣势 / 烈士
BAAI/bge-small-zh-v1.5,yù shì,2,1,0.6634,0.6634,0.6634,0.6634,浴室|预示,0.6634,浴室|预示,浴室 / 预示
BAAI/bge-small-zh-v1.5,gōng shì,6,15,0.4934,0.5622,0.635,0.6835,公视|攻势,0.3018,公事|工事,公事 / 公式 / 公示 / 公视 / 工事 / 攻势
BAAI/bge-small-zh-v1.5,xíng shì,5,10,0.4682,0.5147,0.6353,0.6705,刑事|型式,0.1815,型式|形式,刑事 / 型式 / 形势 / 形式 / 行事
BAAI/bge-small-zh-v1.5,qí shì,4,6,0.6436,0.6807,0.736,0.7388,其事|骑士,0.4063,棋士|骑士,其事 / 棋士 / 歧视 / 骑士
BAAI/bge-small-zh-v1.5,jīng lì,2,1,0.5071,0.5071,0.5071,0.5071,精力|经历,0.5071,精力|经历,精力 / 经历
