model,pinyin_token,N,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
shibing624/text2vec-base-chinese,ALL,ALL,1900,0.4345,0.45,0.6358,0.9099,dé yǐ (N=2),0.0164,huò qí tā (N=2),equal-weight mean over filtered N>1 collision groups
shibing624/text2vec-base-chinese,tā de,4,6,0.3219,0.2968,0.4989,0.5017,他的|牠的,0.1447,他的|它的,他的 / 她的 / 它的 / 牠的
shibing624/text2vec-base-chinese,àn jiàn,2,1,0.5867,0.5867,0.5867,0.5867,按键|案件,0.5867,按键|案件,按键 / 案件
shibing624/text2vec-base-chinese,diàn shì,2,1,0.7092,0.7092,0.7092,0.7092,殿试|电视,0.7092,殿试|电视,殿试 / 电视
shibing624/text2vec-base-chinese,fú shì,2,1,0.3558,0.3558,0.3558,0.3558,服侍|服饰,0.3558,服侍|服饰,服侍 / 服饰
shibing624/text2vec-base-chinese,liè shì,2,1,0.6137,0.6137,0.6137,0.6137,劣势|烈士,0.6137,劣势|烈士,劣势 / 烈士
shibing624/text2vec-base-chinese,yù shì,2,1,0.7626,0.7626,0.7626,0.7626,浴室|预示,0.7626,浴室|预示,浴室 / 预示
shibing624/text2vec-base-chinese,gōng shì,6,15,0.5556,0.5279,0.6582,0.7292,公示|攻势,0.4421,公事|公视,公事 / 公式 / 公示 / 公视 / 工事 / 攻势
shibing624/text2vec-base-chinese,xíng shì,5,10,0.5103,0.5181,0.6218,0.6478,刑事|形式,0.2554,型式|形式,刑事 / 型式 / 形势 / 形式 / 行事
shibing624/text2vec-base-chinese,qí shì,4,6,0.6659,0.6735,0.7328,0.7412,棋士|歧视,0.5551,棋士|骑士,其事 / 棋士 / 歧视 / 骑士
shibing624/text2vec-base-chinese,jīng lì,2,1,0.5491,0.5491,0.5491,0.5491,精力|经历,0.5491,精力|经历,精力 / 经历
