model,N,pinyin_token,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
BAAI/bge-small-zh-v1.5,2,jūn de,1,0.5387,0.5387,0.5387,0.5387,军的|菌的,0.5387,军的|菌的,军的 / 菌的
BAAI/bge-small-zh-v1.5,2,shàng yī,1,0.3611,0.3611,0.3611,0.3611,上一|上衣,0.3611,上一|上衣,上一 / 上衣
BAAI/bge-small-zh-v1.5,2,shí sì,1,0.6433,0.6433,0.6433,0.6433,十四|食肆,0.6433,十四|食肆,十四 / 食肆
BAAI/bge-small-zh-v1.5,2,xiàn shí de,1,0.244,0.244,0.244,0.244,现实的|现时的,0.244,现实的|现时的,现实的 / 现时的
BAAI/bge-small-zh-v1.5,2,xī kǒu,1,0.3838,0.3838,0.3838,0.3838,溪口|西口,0.3838,溪口|西口,溪口 / 西口
BAAI/bge-small-zh-v1.5,3,hé lǐ,3,0.703,0.7014,0.7072,0.7087,合理|和李,0.6988,和李|荷里,合理 / 和李 / 荷里
BAAI/bge-small-zh-v1.5,3,liǎng jí,3,0.402,0.404,0.4298,0.4363,两极|两集,0.3657,两极|两级,两极 / 两级 / 两集
BAAI/bge-small-zh-v1.5,3,quán lì,3,0.3939,0.4123,0.5516,0.5864,全力|权利,0.1829,权利|权力,全力 / 权利 / 权力
BAAI/bge-small-zh-v1.5,3,shì wēi,3,0.5756,0.6191,0.6688,0.6812,士威|式微,0.4265,士威|示威,士威 / 式微 / 示威
BAAI/bge-small-zh-v1.5,3,ān xī,3,0.4266,0.4293,0.4351,0.4365,安息|安溪,0.4141,安息|安西,安息 / 安溪 / 安西
BAAI/bge-small-zh-v1.5,4,lǐ shì,6,0.569,0.5964,0.6286,0.6578,李世|里士,0.3912,李世|李氏,李世 / 李氏 / 理事 / 里士
BAAI/bge-small-zh-v1.5,4,quán shì,6,0.5544,0.583,0.6583,0.667,全市|权势,0.3728,全市|全是,全市 / 全是 / 权势 / 诠释
BAAI/bge-small-zh-v1.5,4,tā de,6,0.3154,0.3133,0.3797,0.431,她的|牠的,0.2254,他的|它的,他的 / 她的 / 它的 / 牠的
BAAI/bge-small-zh-v1.5,4,xī lín,6,0.4762,0.4054,0.6921,0.7312,西临|锡林,0.3013,西临|西邻,西临 / 西林 / 西邻 / 锡林
BAAI/bge-small-zh-v1.5,4,ài lì,6,0.2543,0.2554,0.3179,0.3198,艾力|艾莉,0.1716,艾丽|艾莉,艾丽 / 艾利 / 艾力 / 艾莉
BAAI/bge-small-zh-v1.5,5,mǎ lì,10,0.3858,0.3822,0.5914,0.6061,玛丽|马力,0.1784,玛利|玛莉,玛丽 / 玛利 / 玛莉 / 马利 / 马力
BAAI/bge-small-zh-v1.5,5,shì zhōng,10,0.3789,0.3965,0.4367,0.4566,侍中|是中,0.254,事中|是中,事中 / 侍中 / 室中 / 式中 / 是中
BAAI/bge-small-zh-v1.5,5,xíng shì,10,0.4682,0.5147,0.6353,0.6705,刑事|型式,0.1815,型式|形式,刑事 / 型式 / 形势 / 形式 / 行事
BAAI/bge-small-zh-v1.5,5,yì wèi,10,0.4016,0.3994,0.5346,0.5833,亦未|意味,0.2393,亦为|意为,亦为 / 亦未 / 意为 / 意味 / 译为
BAAI/bge-small-zh-v1.5,5,yī shì,10,0.5366,0.6389,0.683,0.6935,一世|伊士,0.2476,一事|一是,一世 / 一事 / 一是 / 伊势 / 伊士
BAAI/bge-small-zh-v1.5,6,gōng shì,15,0.4934,0.5622,0.635,0.6835,公视|攻势,0.3018,公事|工事,公事 / 公式 / 公示 / 公视 / 工事 / 攻势
BAAI/bge-small-zh-v1.5,6,shì wèi,15,0.4496,0.4044,0.6802,0.7142,侍卫|是为,0.2649,式为|是为,侍卫 / 式为 / 是为 / 是位 / 氏为 / 视为
BAAI/bge-small-zh-v1.5,6,zhèng shì,15,0.513,0.5928,0.6362,0.6645,正视|郑氏,0.2579,正式|正是,政事 / 正室 / 正式 / 正是 / 正视 / 郑氏
BAAI/bge-small-zh-v1.5,8,shì de,28,0.4528,0.4606,0.5116,0.569,士的|市的,0.3238,世的|事的,世的 / 事的 / 士的 / 室的 / 市的 / 式的 / 是的 / 氏的
